crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	51.092476	4430	0.000000
281474976710655.000000	41.100357	4431	0.000000
281474976710655.000000	88.664864	4432	0.000000
281474976710655.000000	39.420128	4433	0.000000
281474976710655.000000	76.493408	4434	0.000000
281474976710655.000000	81.827042	4435	0.000000
281474976710655.000000	78.690681	4436	0.000000
281474976710655.000000	77.758026	4437	0.000000
281474976710655.000000	71.420502	4438	0.000000
281474976710655.000000	153.022247	4439	0.000000
281474976710655.000000	80.413361	4440	0.000000
281474976710655.000000	67.774635	4441	0.000000
281474976710655.000000	70.599152	4442	0.000000
281474976710655.000000	66.034286	4443	0.000000
281474976710655.000000	67.974861	4444	0.000000
281474976710655.000000	103.588524	4445	0.000000
281474976710655.000000	65.628731	4446	0.000000
281474976710655.000000	65.230438	4447	0.000000
281474976710655.000000	61.304234	4448	0.000000
281474976710655.000000	70.767548	4449	0.000000
281474976710655.000000	61.072735	4450	0.000000
281474976710655.000000	57.450230	4451	0.000000
281474976710655.000000	57.391407	4452	0.000000
281474976710655.000000	62.702209	4453	0.000000
281474976710655.000000	56.415489	4454	0.000000
281474976710655.000000	56.680527	4455	0.000000
281474976710655.000000	61.000256	4456	0.000000
281474976710655.000000	70.221863	4457	0.000000
281474976710655.000000	52.703522	4458	0.000000
281474976710655.000000	86.142792	4459	0.000000
281474976710655.000000	49.047279	4460	0.000000
281474976710655.000000	38.229195	4461	0.000000
281474976710655.000000	52.074459	4462	0.000000
281474976710655.000000	45.309349	4463	0.000000
281474976710655.000000	49.068230	4464	0.000000
281474976710655.000000	45.953167	4465	0.000000
281474976710655.000000	50.682316	4466	0.000000
281474976710655.000000	34.303020	4467	0.000000
281474976710655.000000	48.102200	4468	0.000000
281474976710655.000000	33.511086	4469	0.000000
281474976710655.000000	44.789047	4470	0.000000
281474976710655.000000	40.756191	4471	0.000000
281474976710655.000000	41.150787	4472	0.000000
281474976710655.000000	34.723255	4473	0.000000
281474976710655.000000	30.464457	4474	0.000000
281474976710655.000000	51.258137	4475	0.000000
281474976710655.000000	55.710636	4476	0.000000
281474976710655.000000	32.806602	4477	0.000000
281474976710655.000000	40.744854	4478	0.000000
281474976710655.000000	43.813976	4479	0.000000
281474976710655.000000	43.238537	4480	0.000000
281474976710655.000000	31.246040	4481	0.000000
281474976710655.000000	32.030827	4482	0.000000
281474976710655.000000	30.734720	4483	0.000000
281474976710655.000000	40.046185	4484	0.000000
281474976710655.000000	25.802629	4485	0.000000
281474976710655.000000	28.567717	4486	0.000000
281474976710655.000000	30.305300	4487	0.000000
281474976710655.000000	28.484631	4488	0.000000
281474976710655.000000	29.950243	4489	0.000000
281474976710655.000000	31.960953	4490	0.000000
281474976710655.000000	25.500530	4491	0.000000
281474976710655.000000	25.148758	4492	0.000000
281474976710655.000000	30.378954	4493	0.000000
281474976710655.000000	30.074776	4494	0.000000
281474976710655.000000	26.943832	4495	0.000000
281474976710655.000000	24.991623	4496	0.000000
281474976710655.000000	28.345894	4497	0.000000
281474976710655.000000	26.161339	4498	0.000000
281474976710655.000000	23.954786	4499	0.000000
281474976710655.000000	26.075460	4500	0.000000
281474976710655.000000	25.253487	4501	0.000000
281474976710655.000000	22.818890	4502	0.000000
281474976710655.000000	23.573174	4503	0.000000
281474976710655.000000	22.882259	4504	0.000000
281474976710655.000000	22.533447	4505	0.000000
281474976710655.000000	22.592306	4506	0.000000
281474976710655.000000	21.568695	4507	0.000000
281474976710655.000000	21.119413	4508	0.000000
281474976710655.000000	20.787540	4509	0.000000
281474976710655.000000	20.680855	4510	0.000000
281474976710655.000000	18.793573	4511	0.000000
281474976710655.000000	18.747486	4512	0.000000
281474976710655.000000	17.959921	4513	0.000000
281474976710655.000000	18.120247	4514	0.000000
281474976710655.000000	18.267553	4515	0.000000
281474976710655.000000	17.804150	4516	0.000000
281474976710655.000000	16.784782	4517	0.000000
281474976710655.000000	16.951544	4518	0.000000
281474976710655.000000	15.819676	4519	0.000000
281474976710655.000000	16.168081	4520	0.000000
281474976710655.000000	15.113431	4521	0.000000
281474976710655.000000	15.845631	4522	0.000000
281474976710655.000000	15.535576	4523	0.000000
281474976710655.000000	14.025614	4524	0.000000
281474976710655.000000	13.912383	4525	0.000000
281474976710655.000000	13.537176	4526	0.000000
281474976710655.000000	13.739674	4527	0.000000
281474976710655.000000	13.499946	4528	0.000000
281474976710655.000000	13.468374	4529	0.000000
281474976710655.000000	13.228601	4530	0.000000
281474976710655.000000	12.666943	4531	0.000000
281474976710655.000000	12.324968	4532	0.000000
281474976710655.000000	12.168277	4533	0.000000
281474976710655.000000	11.830115	4534	0.000000
281474976710655.000000	11.514277	4535	0.000000
281474976710655.000000	10.896909	4536	0.000000
281474976710655.000000	10.567210	4537	0.000000
281474976710655.000000	10.736661	4538	0.000000
281474976710655.000000	10.609454	4539	0.000000
281474976710655.000000	10.370630	4540	0.000000
281474976710655.000000	10.308684	4541	0.000000
281474976710655.000000	10.012598	4542	0.000000
281474976710655.000000	9.637343	4543	0.000000
281474976710655.000000	9.622567	4544	0.000000
281474976710655.000000	9.196304	4545	0.000000
281474976710655.000000	8.968255	4546	0.000000
281474976710655.000000	8.796977	4547	0.000000
281474976710655.000000	8.736961	4548	0.000000
281474976710655.000000	8.753814	4549	0.000000
281474976710655.000000	8.107187	4550	0.000000
281474976710655.000000	8.272862	4551	0.000000
