num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4123	6474.198926	85.998793	0.907984	-1.565690	91.798297
4125	6476.283895	83.970488	0.922789	-1.565575	97.922200
4127	6478.370898	82.215668	0.965094	-1.563978	85.095492
4129	6480.456974	80.390077	0.992361	-1.567141	83.715116
4131	6482.544567	78.789120	1.024215	-1.565883	80.347023
4133	6484.631955	77.007464	1.047306	-1.567732	78.925309
4135	6486.718677	75.320629	1.070321	-1.568492	73.716784
4137	6488.805718	73.954534	1.120268	-1.568732	71.330808
4139	6490.890628	72.125717	1.150520	-1.564709	68.853605
4141	6492.974524	70.526470	1.200150	-1.562060	66.086827
4143	6495.059376	68.490792	1.158441	-1.561931	60.525347
4145	6497.145735	66.916137	1.156764	-1.559764	59.109849
4147	6499.234270	65.101818	1.162509	-1.561438	56.859554
4149	6501.323786	63.551561	1.170484	-1.565994	53.691336
4151	6503.410584	62.253227	1.224300	-1.566754	50.768759
4153	6505.494870	60.787660	1.283321	-1.561728	49.406427
4155	6507.577361	59.141992	1.256558	-1.558876	46.381395
4157	6509.661731	57.503848	1.243137	-1.557209	45.035915
4159	6511.748052	55.912999	1.259967	-1.556066	42.086658
4161	6513.837009	54.463780	1.280418	-1.556232	40.559713
4163	6515.925142	52.935848	1.287254	-1.557297	37.565575
4165	6518.012804	51.505048	1.293548	-1.558457	35.974850
4167	6520.098467	50.331938	1.317985	-1.559000	34.963346
4169	6522.186028	48.947134	1.322279	-1.558508	31.886015
4171	6524.273448	47.752783	1.318139	-1.557700	31.366939
4173	6526.358231	46.367642	1.315863	-1.556661	29.154099
4175	6528.444369	45.273549	1.324328	-1.554845	26.695929
4177	6530.529784	44.024276	1.318220	-1.553578	26.172317
4179	6532.614873	42.781436	1.313568	-1.552201	25.002841
4181	6534.697387	41.688458	1.306224	-1.551765	23.692406
4183	6536.780996	40.600784	1.277233	-1.553385	22.022338
4185	6538.864787	39.571187	1.268610	-1.555148	21.387507
4187	6540.947960	38.327408	1.251881	-1.557407	20.236960
4189	6543.033301	37.193595	1.250447	-1.557091	18.859400
4191	6545.124118	35.982364	1.259586	-1.553298	17.010030
4193	6547.213757	34.957957	1.243625	-1.548731	16.543992
4195	6549.303076	34.063850	1.232022	-1.545825	15.911302
4197	6551.386685	33.187333	1.195621	-1.545944	16.080946
4199	6553.468456	32.267930	1.163852	-1.547674	13.565616
4201	6555.549774	31.385937	1.156683	-1.551586	12.700864
4203	6557.631359	30.411207	1.126474	-1.554690	12.840223
4205	6559.715877	29.433743	1.119886	-1.555719	12.591730
4207	6561.803331	28.458302	1.125689	-1.553732	11.010203
4209	6563.889882	27.576050	1.096690	-1.552723	10.102395
4211	6565.977698	26.826582	1.073883	-1.548684	10.110692
4213	6568.065589	26.021610	1.066180	-1.547484	9.354447
4215	6570.152052	25.246213	1.034813	-1.546976	9.447737
