num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5535	8500.296890	92.025879	2.189185	-1.603301	129.957781
5537	8502.387661	87.196457	2.086133	4.682246	105.775358
5539	8504.479137	81.580210	1.992523	4.682233	94.604945
5541	8506.570277	76.301187	1.902738	4.682836	86.120938
5543	8508.662814	71.256498	1.755041	4.685709	72.228938
5545	8510.755630	66.538310	1.659411	-1.599547	62.892526
5547	8512.847793	61.739819	1.543786	-1.598836	55.016049
5549	8514.939761	57.299469	1.453354	4.684431	46.373190
5551	8517.029603	53.044631	1.373094	-1.596637	40.538291
5553	8519.119148	49.242182	1.282185	-1.596165	34.806008
5555	8521.206139	45.441192	1.178170	-1.595915	29.991782
5557	8523.291865	41.910837	1.088668	-1.596094	25.674745
5559	8525.378435	38.424277	0.987340	-1.596293	21.100881
5561	8527.467462	35.276749	0.885186	-1.594714	19.030746
5563	8529.554766	32.259906	0.785196	-1.592497	15.203615
5565	8531.643427	29.483328	0.721442	-1.589118	13.257096
5567	8533.733746	26.850614	0.635446	-1.586136	11.072843
